test_date,county,new_positives,total_number_of_tests_performed
2023-08-30,Albany,17,103
2023-08-30,Allegany,0,1
2023-08-30,Bronx,142,1099
2023-08-30,Broome,33,87
2023-08-30,Capital Region,63,356
2023-08-30,Cattaraugus,2,6
2023-08-30,Cayuga,4,16
2023-08-30,Central New York,57,411
2023-08-30,Chautauqua,6,24
2023-08-30,Chemung,4,25
2023-08-30,Chenango,9,77
2023-08-30,Clinton,7,50
2023-08-30,Columbia,2,9
2023-08-30,Cortland,8,21
2023-08-30,Delaware,2,9
2023-08-30,Dutchess,19,136
2023-08-30,Erie,46,133
2023-08-30,Essex,3,20
2023-08-30,Finger Lakes,70,419
2023-08-30,Franklin,1,27
2023-08-30,Fulton,3,18
2023-08-30,Genesee,2,16
2023-08-30,Greene,0,4
2023-08-30,Hamilton,1,2
2023-08-30,Herkimer,3,16
2023-08-30,Jefferson,6,52
2023-08-30,Kings,201,1491
2023-08-30,Lewis,1,13
2023-08-30,Livingston,4,8
2023-08-30,Long Island,236,1347
2023-08-30,Madison,1,36
2023-08-30,Mid-Hudson,210,1444
2023-08-30,Mohawk Valley,45,173
2023-08-30,Monroe,46,285
2023-08-30,Montgomery,3,9
2023-08-30,Nassau,113,773
2023-08-30,New York,123,755
2023-08-30,New York City,703,4526
2023-08-30,Niagara,13,33
2023-08-30,North Country,31,247
2023-08-30,Oneida,28,115
2023-08-30,Onondaga,32,256
2023-08-30,Ontario,7,27
2023-08-30,Orange,41,352
2023-08-30,Orleans,1,8
2023-08-30,Oswego,12,82
2023-08-30,Otsego,7,14
2023-08-30,Putnam,11,58
2023-08-30,Queens,217,1048
2023-08-30,Rensselaer,8,42
2023-08-30,Richmond,20,133
2023-08-30,Rockland,20,187
2023-08-30,STATEWIDE,1553,9368
2023-08-30,Saratoga,13,107
2023-08-30,Schenectady,14,39
2023-08-30,Schoharie,1,1
2023-08-30,Schuyler,1,7
2023-08-30,Seneca,1,16
2023-08-30,Southern Tier,71,248
2023-08-30,St. Lawrence,12,83
2023-08-30,Steuben,7,18
2023-08-30,Suffolk,123,574
2023-08-30,Sullivan,11,38
2023-08-30,Tioga,4,5
2023-08-30,Tompkins,11,20
2023-08-30,Ulster,8,56
2023-08-30,Warren,5,28
2023-08-30,Washington,4,24
2023-08-30,Wayne,6,47
2023-08-30,Westchester,100,617
2023-08-30,Western New York,67,197
2023-08-30,Wyoming,2,6
2023-08-30,Yates,1,6
2023-08-29,Albany,14,87
2023-08-29,Allegany,2,4
2023-08-29,Bronx,136,1149
2023-08-29,Broome,44,102
2023-08-29,Capital Region,42,300
2023-08-29,Cattaraugus,3,17
2023-08-29,Cayuga,4,18
2023-08-29,Central New York,52,406
2023-08-29,Chautauqua,7,30
2023-08-29,Chemung,12,50
2023-08-29,Chenango,3,14
2023-08-29,Clinton,10,46
2023-08-29,Columbia,5,11
2023-08-29,Cortland,2,16
2023-08-29,Delaware,4,21
2023-08-29,Dutchess,32,132
2023-08-29,Erie,41,118
2023-08-29,Essex,6,17
2023-08-29,Finger Lakes,45,326
2023-08-29,Franklin,4,27
2023-08-29,Fulton,6,30
2023-08-29,Genesee,0,15
2023-08-29,Greene,0,4
2023-08-29,Hamilton,0,1
2023-08-29,Herkimer,5,17
2023-08-29,Jefferson,9,78
2023-08-29,Kings,165,1472
2023-08-29,Lewis,2,16
2023-08-29,Livingston,1,6
2023-08-29,Long Island,281,1695
2023-08-29,Madison,0,26
2023-08-29,Mid-Hudson,236,1532
2023-08-29,Mohawk Valley,36,182
2023-08-29,Monroe,38,234
2023-08-29,Montgomery,5,24
2023-08-29,Nassau,132,895
2023-08-29,New York,149,901
2023-08-29,New York City,692,5132
2023-08-29,Niagara,8,28
2023-08-29,North Country,37,258
2023-08-29,Oneida,16,102
2023-08-29,Onondaga,34,243
2023-08-29,Ontario,3,15
2023-08-29,Orange,64,399
2023-08-29,Orleans,0,4
2023-08-29,Oswego,12,103
2023-08-29,Otsego,3,6
2023-08-29,Putnam,11,55
2023-08-29,Queens,209,1339
2023-08-29,Rensselaer,5,51
2023-08-29,Richmond,33,271
2023-08-29,Rockland,17,186
2023-08-29,STATEWIDE,1568,10302
2023-08-29,Saratoga,10,78
2023-08-29,Schenectady,4,27
2023-08-29,Schoharie,1,3
2023-08-29,Schuyler,1,6
2023-08-29,Seneca,2,20
2023-08-29,Southern Tier,86,274
2023-08-29,St. Lawrence,6,73
2023-08-29,Steuben,7,50
2023-08-29,Suffolk,149,800
2023-08-29,Sullivan,6,31
2023-08-29,Tioga,5,10
2023-08-29,Tompkins,10,21
2023-08-29,Ulster,16,66
2023-08-29,Warren,3,26
2023-08-29,Washington,1,16
